,speed_by_minute
777,12.0070406693
778,12.0123486882
779,12.0494110758
780,11.9898800988
781,11.9416820083
782,11.9084847035
783,11.7780118203
784,12.1270502173
785,12.4079449244
786,12.362047634
787,12.2861586433
788,12.3132581828
789,12.316277628
790,12.1562064901
791,12.4104993302
792,12.337419266
793,12.1994401101
794,12.1652481049
795,12.1354731416
796,12.0586337887
797,12.1247507271
798,12.0784345171
799,12.0201811113
800,11.9934238349
801,11.9784836301
802,11.943384038
803,11.8423684523
804,11.7852293234
805,11.437401571
806,11.0849298345
807,11.0155636946
808,11.034248857
809,10.9204007451
810,10.9119944991
811,11.0485969352
812,10.7442689218
813,10.7234210174
814,10.6930475086
815,10.7381604729
816,10.7155036959
817,10.7852801634
818,10.7413913878
819,10.5968622806
820,10.56134093
821,10.5453163966
822,10.5687326262
823,10.6807688916
824,10.7120533431
825,10.8392561894
826,10.8364443382
827,10.7918140726
828,10.8382548002
829,10.8315699244
830,10.8683969066
831,10.8624009247
832,10.7192271264
833,10.7012824548
834,10.700958598
835,10.7235771877
836,10.721946329
837,10.720540371
838,10.5693375403
839,10.6401190946
840,10.7315687443
841,10.7425427853
842,10.7460926715
843,10.7082680787
844,10.7040336414
845,11.32522661
846,11.2733222662
847,11.3262371748
848,11.3554494761
849,11.3636744257
850,11.4076050954
851,11.4265095378
852,11.5007188416
853,11.5558775965
854,11.5392667892
855,11.5232599291
856,11.5644005497
